DOWN;0;0;1096;3;100;42;42;210;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1126;3;100;43;43;210;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1132;3;100;44;44;210;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1138;3;100;45;45;210;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1144;3;110;46;46;209;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1150;3;110;47;47;209;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1156;3;110;48;48;209;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1162;3;110;49;49;209;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1168;3;120;50;50;208;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1174;3;120;51;51;208;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1180;3;120;52;52;208;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1186;3;120;53;53;208;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1211;3;130;54;54;207;4;false;false;false;false;112;-1;-1;-1;UP;UP;UP;UP;1293;220;4;true;
DOWN;0;0;1211;3;130;55;55;207;4;false;false;false;false;111;-1;-1;-1;UP;UP;UP;UP;1293;220;4;true;
LEFT;0;0;1211;3;130;56;56;207;4;false;false;false;false;110;-1;-1;-1;UP;UP;UP;UP;1293;220;4;true;
LEFT;0;0;1210;3;130;57;57;207;4;false;false;false;false;110;-1;-1;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
LEFT;0;0;1209;3;130;58;58;207;4;false;false;false;false;110;-1;-1;-1;RIGHT;RIGHT;RIGHT;RIGHT;1293;220;4;false;
